state,x,y
Andaman,227,-228
Andhra Pradesh,-71,-152
Arunachal Pradesh,261,160
Assam,194,108
Bihar,60,92
Chhattisgarh,-24,-5
Goa,-185,-141
Gujarat,-246,30
Haryana,-150,203
Himachal Pradesh,-114,234
Jammu & Kashmir,-107,295
Jharkhand,40,44
Karnataka,-166,-163
Kerala,-136,-243
Ladakh,-167,274
Lakshadweep,-215,-260
Madhya Pradesh,-112,29
Maharashtra,-163,-55
Manipur,235,69
Meghalaya,182,86
Mizoram,216,45
Nagaland,248,100
Odisha,44,-29
Punjab,-133,170
Rajasthan,-210,111
Sikkim,122,132
Tamil Nadu,-97,-244
Telangana,-87,-92
Tripura,189,47
Uttar Pradesh,-73,126
Uttarakhand,-91,197
West Bengal,105,31
